Local de residência (à data dos Censos 2021),"Taxa de emprego (%) por Local de residência (à data dos Censos 2021), Sexo e Grupo etário; Decenal"
Caldelas,56.09
Candoso (São Martinho),48.97
Costa,59.09
Creixomil,50.96
Fermentões,54.56
Gonça,50.83
Gondar,50.07
Guardizela,51.30
Infantas,57.60
Longos,52.69
Lordelo,50
Mesão Frio,54.53
Moreira de Cónegos,51.97
Nespereira,51.17
Pencelo,47.95
Pinheiro,53.91
Polvoreira,51.34
Ponte,57.50
Prazins (Santa Eufémia),58.52
Ronfe,55.36
Sande (São Martinho),50.53
São Torcato,51.07
Selho (São Cristóvão),51.65
Selho (São Jorge),53.09
Serzedelo,50.76
Silvares,55.03
União das freguesias de Abação e Gémeos,56.73
"União das freguesias de Airão Santa Maria, Airão São João e Vermil",51.25
União das freguesias de Arosa e Castelões,35.60
União das freguesias de Atães e Rendufe,54.71
União das freguesias de Briteiros Santo Estêvão e Donim,53.03
União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia,51.25
União das freguesias de Candoso São Tiago e Mascotelos,56.94
União das freguesias de Conde e Gandarela,56.76
"União das freguesias de Leitões, Oleiros e Figueiredo",55.33
"União das freguesias de Oliveira, São Paio e São Sebastião",43.82
União das freguesias de Prazins Santo Tirso e Corvite,60.13
União das freguesias de Sande São Lourenço e Balazar,55.78
União das freguesias de Sande Vila Nova e Sande São Clemente,51.29
União das freguesias de Selho São Lourenço e Gominhães,54.92
União das freguesias de Serzedo e Calvos,56.02
"União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar",52.10
União das freguesias de Tabuadelo e São Faustino,54.02
Urgezes,52.19
Mondim de Basto,38.61
Atei,41
Bilhó,33.17
São Cristóvão de Mondim de Basto,43.32
União das freguesias de Campanhó e Paradança,31.72
União das freguesias de Ermelo e Pardelhas,15.88
Vilar de Ferreiros,37.45
Póvoa de Lanhoso,45.90
Covelas,52.60
Ferreiros,52.46
Galegos,41.35
Garfe,44.11
Geraz do Minho,49.68
Lanhoso,44.56
Monsul,48.13
Póvoa de Lanhoso (Nossa Senhora do Amparo),49.80
Rendufinho,44.15
Santo Emilião,48.30
São João de Rei,50.93
Serzedelo,39.49
Sobradelo da Goma,27.19
Taíde,46.54
Travassos,40.57
União das freguesias de Águas Santas e Moure,48.24
União das freguesias de Calvos e Frades,43.08
União das freguesias de Campos e Louredo,50.33
União das freguesias de Esperança e Brunhais,21.15
União das freguesias de Fonte Arcada e Oliveira,48.04
"União das freguesias de Verim, Friande e Ajude",40.21
Vilela,51.73
Vieira do Minho,37.66
Cantelães,40.26
Eira Vedra,43.52
Guilhofrei,34.61
Louredo,26.44
Mosteiro,39.29
Parada de Bouro,31
Pinheiro,35.17
Rossas,32.66
Salamonde,34.89
Tabuaças,40.99
União das freguesias de Anissó e Soutelo,32.70
União das freguesias de Anjos e Vilar do Chão,32.19
União das freguesias de Caniçada e Soengas,36.09
União das freguesias de Ruivães e Campos,29.59
União das freguesias de Ventosa e Cova,33.53
Vieira do Minho,47.96
Vila Nova de Famalicão,53.95
Bairro,46.42
Brufe,48.72
Castelões,55.28
Cruz,56.05
Delães,49.64
Fradelos,58.55
Gavião,50.58
Joane,56.48
Landim,51.60
Louro,54.49
Lousado,53.61
Mogege,58.23
Nine,56.06
Oliveira (Santa Maria),53.19
Oliveira (São Mateus),46.25
Pedome,49.94
Pousada de Saramagos,54.68
Requião,55.18
Riba de Ave,49.52
Ribeirão,57.09
União das freguesias de Antas e Abade de Vermoim,56.56
União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures,54.64
União das freguesias de Avidos e Lagoa,54.46
União das freguesias de Carreira e Bente,47.52
União das freguesias de Esmeriz e Cabeçudos,56.38
"União das freguesias de Gondifelos, Cavalões e Outiz",54.20
"União das freguesias de Lemenhe, Mouquim e Jesufrei",51.46
União das freguesias de Ruivães e Novais,49.30
União das freguesias de Seide,52.79
"União das freguesias de Vale (São Cosme), Telhado e Portela",53.91
União das freguesias de Vila Nova de Famalicão e Calendário,54.80
Vale (São Martinho),54.34
Vermoim,53.94
Vilarinho das Cambas,61.75
Vizela,56.04
Infias,57.70
Santa Eulália,58.13
União das freguesias de Caldas de Vizela (São Miguel e São João),53.23
União das freguesias de Tagilde e Vizela (São Paio),59.17
Vizela (Santo Adrião),59.02
Área Metropolitana do Porto,49.93
Arouca,48.66
Alvarenga,35.78
Chave,52.07
Escariz,51.84
Fermedo,47.50
Mansores,57.01
Moldes,46.25
Rossas,48.64
Santa Eulália,50.89
São Miguel do Mato,46.35
Tropeço,49.84
União das freguesias de Arouca e Burgo,49.72
União das freguesias de Cabreiros e Albergaria da Serra,25
União das freguesias de Canelas e Espiunca,44.78
União das freguesias de Covelo de Paivó e Janarde,30.19
Urrô,49
Várzea,48.44
Espinho,43.73
Espinho,44.36
Paramos,42.99
Silvalde,43.25
União das freguesias de Anta e Guetim,43.60
Gondomar,49.25
Baguim do Monte (Rio Tinto),50.62
Lomba,38.71
Rio Tinto,50
União das freguesias de Fânzeres e São Pedro da Cova,48.33
União das freguesias de Foz do Sousa e Covelo,48.11
"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",49.60
União das freguesias de Melres e Medas,46.05
Maia,53.59
Águas Santas,52.90
Castêlo da Maia,55.05
Cidade da Maia,53.32
Folgosa,52.86
Milheirós,52.95
Moreira,57.43
Nogueira e Silva Escura,56.63
Pedrouços,49.12
São Pedro Fins,52.26
Vila Nova da Telha,51.67
Matosinhos,49.21
"União das freguesias de Custóias, Leça do Balio e Guifões",47.82
União das freguesias de Matosinhos e Leça da Palmeira,49.73
"União das freguesias de Perafita, Lavra e Santa Cruz do Bispo",48.85
União das freguesias de São Mamede de Infesta e Senhora da Hora,50.14
Oliveira de Azeméis,52.77
Carregosa,55.57
Cesar,56.28
Fajões,50.63
Loureiro,53.95
Macieira de Sarnes,48.55
Ossela,47.87
São Martinho da Gândara,52.90
São Roque,53.93
União das freguesias de Nogueira do Cravo e Pindelo,53.13
"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail",54.27
"União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz",51.15
Vila de Cucujães,49.92
Paredes,53.11
Aguiar de Sousa,48.50
Astromil,56.32
Baltar,54.08
Beire,53.55
Cete,51.76
Cristelo,51.11
Duas Igrejas,52.04
Gandra,56.03
Lordelo,51.15
Louredo,53.73
Parada de Todeia,52.33
Paredes,55.42
Rebordosa,53.20
Recarei,48.58
Sobreira,50.71
Sobrosa,51.40
Vandoma,51.22
Vilela,53.14
Porto,45.62
Bonfim,45.31
Campanhã,38.16
Paranhos,46.14
Ramalde,48.20
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",46.29
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",46.73
União das freguesias de Lordelo do Ouro e Massarelos,47.23
Póvoa de Varzim,50.91
Balazar,55.23
Estela,52.73
Laundos,48.32
Rates,53.28
"União das freguesias da Póvoa de Varzim, Beiriz e Argivai",49.86
União das freguesias de Aguçadoura e Navais,52.28
"União das freguesias de Aver-o-Mar, Amorim e Terroso",51.94
Santa Maria da Feira,51.76
Argoncilhe,49.89
Arrifana,49.94
Escapães,52.38
Fiães,47.08
Fornos,55.19
Lourosa,48.55
Milheirós de Poiares,54.04
Mozelos,55.75
Nogueira da Regedoura,51.40
Paços de Brandão,50.98
Rio Meão,50.13
Romariz,51.57
Sanguedo,48.93
Santa Maria de Lamas,51.61
São João de Ver,55.77
São Paio de Oleiros,49.11
União das freguesias de Caldas de São Jorge e Pigeiros,49.70
"União das freguesias de Canedo, Vale e Vila Maior",47.81
"União das freguesias de Lobão, Gião, Louredo e Guisande",49.51
"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo",57.01
União de freguesias de São Miguel de Souto e Mosteirô,50.24
Santo Tirso,49.26
Agrela,48.76
Água Longa,51.44
Aves,47.02
Monte Córdova,53.07
Negrelos (São Tomé),45.84
Rebordões,45.45
Reguenga,46.53
Roriz,49.05
"União das freguesias de Areias, Sequeiró, Lama e Palmeira",46.82
Vila Nova do Campo,51.57
União das freguesias de Carreira e Refojos de Riba de Ave,52.33
União das freguesias de Lamelas e Guimarei,51.91
"União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães",49.16
Vilarinho,55.27
São João da Madeira,51.48
São João da Madeira,51.48
Trofa,53.82
Covelas,52.67
Muro,52.69
União das freguesias de Alvarelhos e Guidões,52.64
União das freguesias de Bougado (São Martinho e Santiago),54.22
União das freguesias de Coronado (São Romão e São Mamede),53.89
Vale de Cambra,48.56
Arões,30.55
Cepelos,44.72
Junqueira,41.99
Macieira de Cambra,49.18
Roge,47.31
São Pedro de Castelões,49.50
"União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho",53.34
Valongo,51.66
Alfena,50.70
Ermesinde,49.18
União das freguesias de Campo e Sobrado,50.35
Valongo,56.84
Vila do Conde,51.96
Árvore,52.95
Aveleda,52.57
Azurara,53.36
Fajozes,46.50
Gião,54.46
Guilhabreu,51.24
Junqueira,51.97
Labruge,55.11
Macieira da Maia,56.42
Mindelo,53.67
Modivas,49.51
"União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada",50.72
União das freguesias de Fornelo e Vairão,51.43
União das freguesias de Malta e Canidelo,55.13
União das freguesias de Retorta e Tougues,56.66
União das freguesias de Rio Mau e Arcos,54.10
União das freguesias de Touguinha e Touguinhó,54.70
União das freguesias de Vilar e Mosteiró,50.50
Vila Chã,50.24
Vila do Conde,50.54
Vilar de Pinheiro,51.42
Vila Nova de Gaia,49.19
Arcozelo,52.12
Avintes,46.36
Canelas,54.11
Canidelo,50.35
Madalena,48.86
Oliveira do Douro,47.96
