Local de residência (à data dos Censos 2021),Proporção da população residente com pelo menos o ensino secundário completo (%) por Local de residência (à data dos Censos 2021) e Sexo; Decenal
São Cristóvão de Mondim de Basto,36.92
União das freguesias de Campanhó e Paradança,20.46
União das freguesias de Ermelo e Pardelhas,8.73
Vilar de Ferreiros,22.25
Póvoa de Lanhoso,32.26
Covelas,36.03
Ferreiros,30.20
Galegos,26.54
Garfe,32.25
Geraz do Minho,30.55
Lanhoso,32.24
Monsul,27.46
Póvoa de Lanhoso (Nossa Senhora do Amparo),41.84
Rendufinho,29.15
Santo Emilião,25.11
São João de Rei,31.82
Serzedelo,24.69
Sobradelo da Goma,15.54
Taíde,34.06
Travassos,28.86
União das freguesias de Águas Santas e Moure,41.97
União das freguesias de Calvos e Frades,28.12
União das freguesias de Campos e Louredo,31.33
União das freguesias de Esperança e Brunhais,18.62
União das freguesias de Fonte Arcada e Oliveira,30.20
"União das freguesias de Verim, Friande e Ajude",19.89
Vilela,29.96
Vieira do Minho,29.78
Cantelães,29.69
Eira Vedra,38.64
Guilhofrei,25.41
Louredo,20.12
Mosteiro,29.22
Parada de Bouro,23.38
Pinheiro,24.11
Rossas,24.46
Salamonde,24.29
Tabuaças,35.80
União das freguesias de Anissó e Soutelo,22.51
União das freguesias de Anjos e Vilar do Chão,27.77
União das freguesias de Caniçada e Soengas,23.90
União das freguesias de Ruivães e Campos,28.90
União das freguesias de Ventosa e Cova,26.32
Vieira do Minho,39.10
Vila Nova de Famalicão,40.48
Bairro,31.66
Brufe,41.75
Castelões,34.95
Cruz,42.55
Delães,32.49
Fradelos,36.14
Gavião,44.03
Joane,39.29
Landim,34.60
Louro,40.12
Lousado,41.26
Mogege,36.95
Nine,40.14
Oliveira (Santa Maria),32.57
Oliveira (São Mateus),31.08
Pedome,32.84
Pousada de Saramagos,36.16
Requião,37.55
Riba de Ave,36.79
Ribeirão,40.20
União das freguesias de Antas e Abade de Vermoim,54.53
União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures,35.49
União das freguesias de Avidos e Lagoa,41.36
União das freguesias de Carreira e Bente,29.51
União das freguesias de Esmeriz e Cabeçudos,40.63
"União das freguesias de Gondifelos, Cavalões e Outiz",36.81
"União das freguesias de Lemenhe, Mouquim e Jesufrei",37
União das freguesias de Ruivães e Novais,33.43
União das freguesias de Seide,36.91
"União das freguesias de Vale (São Cosme), Telhado e Portela",35.35
União das freguesias de Vila Nova de Famalicão e Calendário,51.75
Vale (São Martinho),37.62
Vermoim,38
Vilarinho das Cambas,34.69
Vizela,33.60
Infias,33.25
Santa Eulália,29.79
União das freguesias de Caldas de Vizela (São Miguel e São João),37.85
União das freguesias de Tagilde e Vizela (São Paio),28.71
Vizela (Santo Adrião),29.11
Área Metropolitana do Porto,46.16
Arouca,31.66
Alvarenga,22.13
Chave,29.22
Escariz,30.12
Fermedo,24.46
Mansores,32.96
